                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.72728,                0.88762,                 1.2762,                0.86661,                  0.783,                0.84923,                0.63028,                 1.0242,                 1.2169,                  1.768,               0.002476,               0.002476,               0.002476
                     78,                 0.7204,                0.88275,                 1.2592,                0.88234,                0.77357,                0.84773,                0.62924,                 1.0269,                 1.2216,                 1.7644,               0.002377,               0.002377,               0.002377
                     79,                0.72638,                 0.8826,                 1.2625,                0.86961,                 0.7818,                0.84892,                0.62965,                 1.0283,                  1.214,                 1.7606,               0.002278,               0.002278,               0.002278
                     80,                0.71753,                0.86437,                 1.2605,                0.87179,                0.78088,                0.85007,                0.62994,                 1.0261,                 1.2184,                 1.7643,               0.002179,               0.002179,               0.002179
                     81,                0.71007,                0.86049,                 1.2626,                0.87068,                0.78096,                 0.8493,                0.62939,                 1.0291,                 1.2196,                 1.7879,                0.00208,                0.00208,                0.00208
                     82,                0.70742,                0.86293,                 1.2509,                0.86869,                0.78376,                0.84987,                0.62919,                 1.0296,                 1.2139,                 1.7874,               0.001981,               0.001981,               0.001981
                     83,                0.70708,                0.85506,                 1.2562,                0.86852,                0.78471,                 0.8502,                0.62854,                 1.0311,                 1.2115,                 1.7965,               0.001882,               0.001882,               0.001882
                     84,                0.70102,                0.85076,                 1.2454,                0.86157,                0.79077,                0.85019,                 0.6283,                 1.0335,                 1.2115,                 1.7977,               0.001783,               0.001783,               0.001783
                     85,                0.69681,                0.84189,                 1.2433,                0.88274,                0.78804,                0.84973,                0.62823,                 1.0303,                 1.2199,                 1.8004,               0.001684,               0.001684,               0.001684
                     86,                0.70067,                0.84456,                 1.2532,                0.86118,                0.78838,                0.84813,                0.62563,                 1.0337,                 1.2283,                 1.8145,               0.001585,               0.001585,               0.001585
                     87,                0.69274,                 0.8373,                 1.2421,                0.86054,                0.79094,                0.84877,                0.62722,                 1.0341,                 1.2238,                 1.8215,               0.001486,               0.001486,               0.001486
                     88,                0.68929,                0.83566,                 1.2389,                0.85474,                0.79477,                0.84878,                0.62801,                 1.0309,                 1.2301,                 1.8123,               0.001387,               0.001387,               0.001387
                     89,                 0.6816,                0.82236,                 1.2258,                0.86748,                0.78488,                0.84893,                0.62891,                 1.0315,                 1.2302,                 1.8079,               0.001288,               0.001288,               0.001288
                     90,                0.68252,                0.82717,                 1.2335,                0.87127,                0.78158,                0.84851,                0.62885,                 1.0335,                 1.2281,                 1.8155,               0.001189,               0.001189,               0.001189
                     91,                0.49503,                0.39731,                 1.0703,                0.87064,                0.78282,                0.84811,                0.62893,                 1.0328,                 1.2254,                 1.8221,                0.00109,                0.00109,                0.00109
                     92,                0.47863,                0.38265,                 1.0598,                0.86594,                0.78719,                0.84931,                0.62907,                 1.0337,                 1.2255,                 1.8384,               0.000991,               0.000991,               0.000991
                     93,                0.47304,                0.37829,                 1.0582,                0.87045,                0.78431,                0.85051,                0.62884,                 1.0366,                 1.2288,                  1.852,               0.000892,               0.000892,               0.000892
